"","OTU","p_value","BH_FDR","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","OTU48",1.89312610253003e-05,1.89312610253003e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"2","OTU38",4.1684124245603e-05,4.1684124245603e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"3","OTU44",0.000275012479036411,0.000275012479036411,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"4","OTU61",0.00121794368426849,0.00121794368426849,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"5","OTU104",0.0013905796059464,0.0013905796059464,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"6","OTU115",0.00180435940609339,0.00180435940609339,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]",NA,NA
"7","OTU83",0.00205064714094492,0.00205064714094492,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"8","OTU8",0.00271969877458456,0.00271969877458456,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"9","OTU123",0.00271969877458456,0.00271969877458456,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",NA
"10","OTU117",0.00380148817451596,0.00380148817451596,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"11","OTU1",0.00606638721666513,0.00606638721666513,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"12","OTU133",0.00642095825579096,0.00642095825579096,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"13","OTU26",0.00872039826137081,0.00872039826137081,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis"
"14","OTU116",0.0094621904119082,0.0094621904119082,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"15","OTU43",0.00972152818980331,0.00972152818980331,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"16","OTU51",0.00972152818980331,0.00972152818980331,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"17","OTU4",0.0130145905990092,0.0130145905990092,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","torques"
"18","OTU21",0.0151929519330191,0.0151929519330191,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bromii"
"19","OTU42",0.016396509730164,0.016396509730164,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Clostridium","saccharogumia"
"20","OTU39",0.0195312160170559,0.0195312160170559,"Bacteria","Cyanobacteria","Chloroplast","Streptophyta",NA,NA,NA
"21","OTU17",0.0205168576917649,0.0205168576917649,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"22","OTU113",0.0210255565364653,0.0210255565364653,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",NA
"23","OTU112",0.0226173439599231,0.0226173439599231,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"24","OTU33",0.0243115722867259,0.0243115722867259,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"25","OTU99",0.0255005062216257,0.0255005062216257,"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"26","OTU64",0.0267388190233248,0.0267388190233248,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter_Eubacterium",NA
"27","OTU130",0.0267388190233248,0.0267388190233248,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"28","OTU102",0.033727881887247,0.033727881887247,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]",NA,NA
"29","OTU53",0.040378231303986,0.040378231303986,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"30","OTU49",0.0422027152326311,0.0422027152326311,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]",NA,NA
"31","OTU76",0.0422027152326311,0.0422027152326311,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"32","OTU101",0.0470675206670009,0.0470675206670009,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"33","OTU135",0.0470675206670009,0.0470675206670009,"Bacteria","Proteobacteria","Alphaproteobacteria","RF32",NA,NA,NA
"34","OTU40",0.0480944257153567,0.0480944257153567,"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"35","OTU98",0.0480944257153567,0.0480944257153567,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"36","OTU103",0.049139872777094,0.049139872777094,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","stercoris"
